AMC Name,AMC Launch Date,Rank,Mutual Fund Name,AUM,Type,Scheme Launch Date,Exit Load,Expense Ratio,Investment Type,NAV,Minimum Investment,Minimum SIP Amount,Total Return,1m_return,1y_return,2y_return,3y_return,4y_return,5y_return,10y_return
ESCORTS,1996-04-15T00:00:00.822Z,34.0,Quant Small Cap Fund Direct Plan Growth,5565.26402101,Equity,07-Jan-2013,Exit load of 1% if redeemed within 1 year,0.62,Small Cap,183.7327,5000,1000.0,433.995802,7.2122962968,42.029294021,40.335026029929,283.35560779824,324.01483336903,251.59782182766,414.83029768567
RELIANCE,1995-06-30T00:00:00.684Z,6.0,Nippon India Small Cap Fund Direct  Growth,31945.148,Equity,31-Dec-2012,Exit load of 1% if redeemed within one month.,0.75,Small Cap,126.5429,5000,100.0,1043.195148,6.0976277687,37.8408971485,51.43061593876,223.39571952156,225.25191991259,187.82665545051,1273.9148462562
ESCORTS,1996-04-15T00:00:00.459Z,34.0,Quant Infrastructure Fund Direct Growth,924.57470136,Equity,07-Jan-2013,Exit load of 0.50% if redeemed within 3 months.,0.64,Sectoral / Thematic,26.7992,5000,1000.0,405.316648,6.6839600171,21.2837222849,46.701602959309,240.25406958187,204.64563328761,211.89392254848,616.427860964
ICICI_PRUDENTIAL,1993-10-12T00:00:00.628Z,3.0,ICICI Prudential Commodities Fund Direct   Growth,994.1340332,Equity,15-Oct-2019,Exit load of 1% if redeemed within 3 months.,1.06,Sectoral / Thematic,31.52,5000,100.0,214.8,4.9683227743,30.622406639,25.518341307814,219.26977687627,,,
HSBC,2002-05-27T00:00:00.707Z,21.0,HSBC Small Cap Fund Direct Growth,10129.40828172,Equity,12-May-2014,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",0.73,Small Cap,62.3954,5000,1000.0,521.505,5.0972162567,32.2837980789,46.487740147217,209.22646738346,168.90310912662,130.61923456552,
ICICI_PRUDENTIAL,1993-10-12T00:00:00.762Z,3.0,ICICI Prudential Infrastructure Direct Growth,2660.04015427,Equity,01-Jan-2013,Exit load of 1% if redeemed within 15 days,1.52,Sectoral / Thematic,128.28,5000,100.0,352.090716,7.2822065254,42.5474860335,69.22668788964,197.18145818775,144.45296033723,152.08456826714,457.11790393013
HDFC,1999-12-10T00:00:00.595Z,2.0,HDFC Small Cap Fund Direct  Growth,18999.0489,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year,0.77,Small Cap,110.954,100,100.0,593.588535,6.8562795968,42.2385789419,42.93690169307,205.18586126784,163.10355516345,135.88148528186,628.24049630412
Tata,1995-06-30T00:00:00.345Z,14.0,Tata Small Cap Fund Direct   Growth,5233.47699811,Equity,12-Nov-2018,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",0.44,Small Cap,30.6126,5000,150.0,201.46,3.9201897355,36.9600377996,42.402312750359,193.95245431675,203.65237011221,,
ICICI_PRUDENTIAL,1993-10-12T00:00:00.973Z,3.0,ICICI Prudential Smallcap Fund Direct Plan Growth,6047.32462491,Equity,02-Jan-2013,Exit load of 1% if redeemed upto 1 year,0.74,Small Cap,70.45,5000,100.0,466.505246,4.6830723341,25.7659917577,38.250935591884,193.6820083682,176.55634357762,169.03027980069,494.32684165961
HDFC,1999-12-10T00:00:00.689Z,2.0,HDFC Infrastructure Direct Plan Growth,699.6645,Equity,01-Jan-2013,"Exit load of 1%, if redeemed within 30 days.",1.75,Sectoral / Thematic,32.551,100,100.0,186.020445,9.5514493749,43.1449984293,53.653836890023,180.41318681319,92.104312213924,81.047792030877,300.61542326049
CANARA_ROBECO,1987-12-19T00:00:00.540Z,18.0,Canara Robeco Small Cap Fund Direct   Growth,6587.2817,Equity,15-Feb-2019,Exit load of 1% if redeemed within 1 year.,0.4,Small Cap,30.24,5000,1000.0,203.5,5.0900277008,22.5272507065,43.566698202459,201.09126984127,223.9060832444,,
KOTAK_MAHINDRA,1994-08-05T00:00:00.220Z,5.0,Kotak Small Cap Fund Direct Growth,10829.6832,Equity,01-Jan-2013,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",0.45,Small Cap,219.378,100,100.0,612.825638,4.4561182792,23.1016920378,30.940643227332,190.58642799893,201.68920324527,176.93923538174,787.70863089165
FRANKLIN_TEMPLETON,1996-02-19T00:00:00.886Z,11.0,Franklin India Smaller Companies Direct Fund Growth,8576.90365884,Equity,01-Jan-2013,Exit load of 1% if redeemed within 1 year.,0.82,Small Cap,131.2403,5000,500.0,662.14821,6.4167741527,37.9977705521,44.612577711691,191.24980283342,149.23556005065,116.88860212919,717.9908903725
Edelweiss,2008-04-30T00:00:00.742Z,15.0,Edelweiss Small Cap Fund Direct   Growth,1946.1109,Equity,07-Feb-2019,"Exit load of 1%, if redeemed within 90 days.",0.48,Small Cap,32.347,5000,100.0,221.23,5.5497141355,29.5282258065,39.586320775214,190.23310444525,214.90049995098,,
BOI_AXA,2008-03-31T00:00:00.412Z,31.0,Bank of India Small Cap Fund Direct   Growth,541.1161,Equity,19-Dec-2018,Exit load of 1% if redeemed within 1 year for units beyond 10% of the investment.,0.94,Small Cap,34.05,5000,1000.0,235.964036,4.1498916073,28.5550458716,33.293697978596,189.4148020654,241.42131979695,,
IDFC,1999-12-20T00:00:00.098Z,9.0,Bandhan Sterling Value Fund Direct Plan Growth,6122.3137,Equity,01-Jan-2013,"If unit beyond 10%, Exit load of 1% if redeemed within 1 year.",0.8,Value,120.222,1000,100.0,445.975316,6.5367581931,27.7535847053,38.939586461822,182.67920094007,143.72847011145,112.0966319873,521.51534411219
