AMC Name,AMC Launch Date,Mutual Fund Name,AUM,Type,Scheme Launch Date,Expense Ratio,Investment Type,NAV,Minimum Investment,Minimum SIP Amount,Total Return,1m_return,1y_return,2y_return,3y_return,4y_return,5y_return,10y_return,Exit Load Per,Exit Load Days
ESCORTS,1996-04-15,Quant Small Cap Fund Direct Plan Growth,5565.26402101,Equity,2013-01-07,0.62,Small Cap,183.7327,5000,1000,433.995802,7.2122962968,42.029294021,40.335026029929,283.35560779824,324.01483336903,251.59782182766,414.83029768567,1.0,365
RELIANCE,1995-06-30,Nippon India Small Cap Fund Direct  Growth,31945.148,Equity,2012-12-31,0.75,Small Cap,126.5429,5000,100,1043.195148,6.0976277687,37.8408971485,51.43061593876,223.39571952156,225.25191991259,187.82665545051,1273.9148462562,1.0,30
ESCORTS,1996-04-15,Quant Infrastructure Fund Direct Growth,924.57470136,Equity,2013-01-07,0.64,Sectoral / Thematic,26.7992,5000,1000,405.316648,6.6839600171,21.2837222849,46.701602959309,240.25406958187,204.64563328761,211.89392254848,616.427860964,0.5,90
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Commodities Fund Direct   Growth,994.1340332,Equity,2019-10-15,1.06,Sectoral / Thematic,31.52,5000,100,214.8,4.9683227743,30.622406639,25.518341307814,219.26977687627,0.0,0.0,0.0,1.0,90
HSBC,2002-05-27,HSBC Small Cap Fund Direct Growth,10129.40828172,Equity,2014-05-12,0.73,Small Cap,62.3954,5000,1000,521.505,5.0972162567,32.2837980789,46.487740147217,209.22646738346,168.90310912662,130.61923456552,0.0,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Infrastructure Direct Growth,2660.04015427,Equity,2013-01-01,1.52,Sectoral / Thematic,128.28,5000,100,352.090716,7.2822065254,42.5474860335,69.22668788964,197.18145818775,144.45296033723,152.08456826714,457.11790393013,1.0,15
HDFC,1999-12-10,HDFC Small Cap Fund Direct  Growth,18999.0489,Equity,2013-01-01,0.77,Small Cap,110.954,100,100,593.588535,6.8562795968,42.2385789419,42.93690169307,205.18586126784,163.10355516345,135.88148528186,628.24049630412,1.0,365
Tata,1995-06-30,Tata Small Cap Fund Direct   Growth,5233.47699811,Equity,2018-11-12,0.44,Small Cap,30.6126,5000,150,201.46,3.9201897355,36.9600377996,42.402312750359,193.95245431675,203.65237011221,0.0,0.0,1.0,360
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Smallcap Fund Direct Plan Growth,6047.32462491,Equity,2013-01-02,0.74,Small Cap,70.45,5000,100,466.505246,4.6830723341,25.7659917577,38.250935591884,193.6820083682,176.55634357762,169.03027980069,494.32684165961,1.0,365
HDFC,1999-12-10,HDFC Infrastructure Direct Plan Growth,699.6645,Equity,2013-01-01,1.75,Sectoral / Thematic,32.551,100,100,186.020445,9.5514493749,43.1449984293,53.653836890023,180.41318681319,92.104312213924,81.047792030877,300.61542326049,1.0,30
CANARA_ROBECO,1987-12-19,Canara Robeco Small Cap Fund Direct   Growth,6587.2817,Equity,2019-02-15,0.4,Small Cap,30.24,5000,1000,203.5,5.0900277008,22.5272507065,43.566698202459,201.09126984127,223.9060832444,0.0,0.0,1.0,365
KOTAK_MAHINDRA,1994-08-05,Kotak Small Cap Fund Direct Growth,10829.6832,Equity,2013-01-01,0.45,Small Cap,219.378,100,100,612.825638,4.4561182792,23.1016920378,30.940643227332,190.58642799893,201.68920324527,176.93923538174,787.70863089165,1.0,365
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Smaller Companies Direct Fund Growth,8576.90365884,Equity,2013-01-01,0.82,Small Cap,131.2403,5000,500,662.14821,6.4167741527,37.9977705521,44.612577711691,191.24980283342,149.23556005065,116.88860212919,717.9908903725,1.0,365
Edelweiss,2008-04-30,Edelweiss Small Cap Fund Direct   Growth,1946.1109,Equity,2019-02-07,0.48,Small Cap,32.347,5000,100,221.23,5.5497141355,29.5282258065,39.586320775214,190.23310444525,214.90049995098,0.0,0.0,1.0,90
BOI_AXA,2008-03-31,Bank of India Small Cap Fund Direct   Growth,541.1161,Equity,2018-12-19,0.94,Small Cap,34.05,5000,1000,235.964036,4.1498916073,28.5550458716,33.293697978596,189.4148020654,241.42131979695,0.0,0.0,1.0,365
IDFC,1999-12-20,Bandhan Sterling Value Fund Direct Plan Growth,6122.3137,Equity,2013-01-01,0.8,Value,120.222,1000,100,445.975316,6.5367581931,27.7535847053,38.939586461822,182.67920094007,143.72847011145,112.0966319873,521.51534411219,1.0,365
IDFC,1999-12-20,Bandhan Infrastructure Fund Direct Plan Growth,711.8268,Equity,2013-01-01,1.13,Sectoral / Thematic,35.508,1000,100,294.266359,7.1838029028,39.1056588841,38.17610062893,175.48589341693,126.78709677419,104.49098312973,376.0950239727,1.0,365
KOTAK_MAHINDRA,1994-08-05,Kotak Infrastructure and Economic Reform Fund Direct Growth,962.6904,Equity,2013-01-01,0.84,Sectoral / Thematic,51.218,100,100,466.556291,5.5781809206,37.7653721249,57.758859144973,176.66684633213,139.83739837398,139.90465507571,592.15210355987,1.0,90
DSP,1996-12-16,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,2129.5957,Equity,2013-01-01,1.25,Sectoral / Thematic,211.877,100,100,345.227268,8.1350847362,39.7327474045,49.473467445873,170.10598983729,126.65496597467,129.10458320182,462.09511602446,1.0,360
Sundaram,1996-02-26,Sundaram Small Cap Fund Direct Growth,2342.49982827,Equity,2013-01-02,0.9,Small Cap,194.6222,100,100,457.9859,5.0817613631,30.9532193398,35.731049570385,176.71985336788,165.2537600326,121.66117238245,664.2780629855,1.0,365
SBI,1987-06-29,SBI Contra Direct Plan Growth,11865.27994633,Equity,2013-01-01,0.84,Contra,285.8776,5000,500,382.330814,7.0054943008,31.3457188076,50.571770964498,180.14509164787,171.79031037093,154.05636812646,432.40653209513,1.0,365
DSP,1996-12-16,DSP Small Cap Direct Plan Growth,10763.8512,Equity,2013-01-01,0.92,Small Cap,149.384,100,100,739.651761,7.050394972,29.7442258639,39.204843667991,174.32677034465,184.48351816736,152.35061250149,907.63907734057,1.0,360
ESCORTS,1996-04-15,Quant Mid Cap Fund Direct Growth,2188.28430267,Equity,2013-01-07,0.63,Mid Cap,167.6171,5000,1000,449.917668,9.3701408026,29.6643157858,46.82200525297,183.66786998743,222.35975477794,189.47086916966,432.79921496629,0.5,90
RELIANCE,1995-06-30,Nippon India Multi Cap Fund Direct Growth,17440.7113,Equity,2012-12-31,1.0,Multi Cap,216.1155,100,100,376.383263,6.6345150032,33.9006847582,55.841968506857,164.38198823281,117.50496319723,127.23457319,451.17876120762,1.0,360
Tata,1995-06-30,Tata Infrastructure Direct Plan Growth,1148.49540032,Equity,2013-01-01,1.45,Sectoral / Thematic,130.5831,5000,150,328.943265,5.8049924266,32.0123173597,49.711832318505,168.24661929865,127.83673007086,133.76470566873,427.44621662481,0.25,30
